PLAYER_ID	POSITION	GP	GS	MIN	FGM	FGA	FG_PCT	FG3M	FG3A	FG3_PCT	FTM	FTA	FT_PCT	OREB	DREB	REB	AST	STL	BLK	TOV	PF	PTS
1628415	Guard-Forward	151	125	4129.0	685	1595	0.429467	217	575	0.377391	265	337	0.78635	109	353	462	258	132	43	227	473	1852
1628971	Guard-Forward	124	94	2824.0	294	689	0.426705	53	177	0.299435	123	169	0.72781	97	302	399	291	96	62	130	315	764
1627759	Guard-Forward	264	157	6819.0	1247	2650	0.470566	346	940	0.368085	509	748	0.680481	222	932	1154	372	222	87	391	633	3349
1629650	Center	7	0	23.0	4	9	0.444444	0	0	0.0	2	4	0.5	3	8	11	0	1	0	3	5	10
1628425	Guard-Forward	147	11	2321.0	288	681	0.422907	112	322	0.347826	73	96	0.760416	79	381	460	142	75	25	100	205	761
1629718	Guard	9	0	40.0	6	19	0.315789	3	9	0.333333	5	5	1.0	2	2	4	2	2	2	3	3	20
1628972	Guard-Forward	98	24	1933.0	285	641	0.444617	59	180	0.327777	101	138	0.731884	87	324	411	180	78	10	78	143	730
1628973	Guard	124	49	2495.0	427	915	0.466666	101	290	0.348275	142	188	0.755319	46	246	292	397	58	8	146	192	1097
1628418	Center-Forward	116	76	2307.0	468	780	0.6	49	153	0.320261	168	221	0.76018	175	511	686	162	36	95	103	198	1153
203493	Guard-Forward	289	133	5665.0	739	1709	0.432416	385	996	0.386546	153	185	0.827027	97	505	602	322	153	35	160	314	2016
203504	Guard	386	128	8857.0	1577	3850	0.40961	464	1354	0.342688	453	568	0.797535	149	627	776	1354	217	44	487	526	4071
202692	Guard	477	85	10442.0	1659	3947	0.420319	373	1037	0.359691	1171	1482	0.790148	291	1239	1530	880	310	92	613	846	4862
1629126	Guard-Forward	62	0	494.0	67	175	0.382857	15	66	0.227272	14	24	0.583333	9	58	67	19	10	17	18	57	163
202710	Forward	567	462	18744.0	3127	6894	0.453582	503	1505	0.334219	2876	3443	0.835318	850	2024	2874	2080	900	270	864	819	9633
203998	Forward	91	20	1204.0	144	365	0.39452	60	188	0.319148	49	59	0.830508	73	165	238	69	31	52	59	121	397
203484	Guard	519	391	15237.0	2180	5233	0.416587	861	2454	0.350855	850	1063	0.799623	349	1324	1673	854	582	99	518	961	6071
1628427	Forward	11	0	38.0	5	11	0.454545	1	5	0.2	4	4	1.0	3	5	8	3	1	1	3	6	15
203991	Center	334	274	8674.0	1766	2785	0.634111	0	2	0.0	543	1033	0.525653	1089	2154	3243	324	229	491	412	838	4075
201960	Forward	569	339	13519.0	1790	4167	0.429565	653	1819	0.358988	863	1166	0.740137	650	1780	2430	712	518	148	491	1115	5096
1628975	Guard	75	5	1082.0	107	315	0.339682	64	176	0.363636	35	43	0.813953	29	100	129	119	53	21	57	107	313
